Version,LineCount,Threads,Run,TaskClock,Cycles,Instructions,CacheMisses,ContextSwitches,MinorFaults,MajorFaults,ElapsedTime,CPUUtilization,MaxRSS,MaxCharTime
V0,100000,16,6,381.81,614684497,1338594077,2624107,0,42664,0,0.203904359,11.70,171680,0.010674
V0,100000,16,7,383.21,615197145,1338304765,2619910,0,42664,0,0.204516065,11.71,171840,0.010706
V0,100000,16,8,397.88,608083912,1334824066,2622769,0,42665,0,0.223166133,11.14,171680,0.010401
V0,100000,16,9,385.14,610805331,1336764300,2620286,0,42665,0,0.209218277,11.51,171840,0.010540
V0,100000,2,1,285.13,430733748,1296642919,2862631,0,42635,0,0.243206618,58.62,172000,0.041567
V0,100000,2,10,277.17,428906650,1296679875,2860786,0,42636,0,0.235850765,58.76,172000,0.042359
V0,100000,2,2,269.16,429211664,1296666856,2861501,0,42637,0,0.227541855,59.15,172000,0.041722
V0,100000,2,3,283.75,430468047,1296660665,2860871,0,42635,0,0.241865526,58.66,172000,0.041467
V0,100000,2,4,275.18,427790333,1296663166,2861927,0,42636,0,0.233468634,58.93,172000,0.042137
V0,100000,2,5,282.47,428396395,1296335942,2860365,0,42638,0,0.240068246,58.83,172000,0.041675
V0,100000,2,6,278.69,428811719,1296629485,2861624,0,42636,0,0.237010508,58.79,172000,0.041485
V0,100000,2,7,282.06,429626689,1296679575,2860051,0,42637,0,0.240130805,58.73,172000,0.041779
V0,100000,2,8,275.25,429056718,1296637569,2860735,0,42636,0,0.233394191,58.97,172000,0.042204
V0,100000,2,9,283.17,430331966,1296652832,2859954,0,42636,0,0.241729893,58.57,172000,0.042073
V0,100000,20,1,434.95,755583987,1372873911,2557096,0,42675,0,0.549035824,3.96,171840,0.011402
V0,100000,20,10,419.41,726565164,1357100055,2516799,0,42675,0,0.193650245,10.83,171840,0.010650
V0,100000,20,2,443.29,716524337,1351963784,2515202,0,42675,0,0.221750034,10.00,171840,0.010467
V0,100000,20,3,447.38,745533874,1367678180,2521425,0,42674,0,0.214757131,10.42,171840,0.011117
V0,100000,20,4,446.74,727729639,1356463859,2513975,0,42673,0,0.220701201,10.12,173828,0.011210
V0,100000,20,5,419.61,716915768,1354226388,2517067,0,42675,0,0.197008144,10.65,171840,0.010528
V0,100000,20,6,426.93,724315277,1357122677,2520716,0,42673,0,0.201676527,10.58,171840,0.010753
V0,100000,20,7,432.84,721287649,1354417258,2513934,0,42674,0,0.209056604,10.35,171840,0.010610
V0,100000,20,8,432.16,724504259,1360319124,2531029,0,42675,0,0.206933945,10.44,171840,0.010847
V0,100000,20,9,433.18,727231799,1358171912,2517132,0,42673,0,0.206946839,10.47,171840,0.010689
V0,100000,4,1,284.47,437893154,1300457689,2860595,0,42642,0,0.217064450,32.76,171840,0.021408
V0,100000,4,10,294.59,443306526,1303335565,2854625,0,42639,0,0.226409680,32.53,171840,0.021881
V0,100000,4,2,286.40,441724429,1303466082,2860883,0,42640,0,0.217949257,32.85,171840,0.022085
V0,100000,4,3,282.95,439899596,1300475363,2861907,0,42641,0,0.215120310,32.88,171840,0.021443
V0,100000,4,4,301.27,445474943,1303510685,2857836,0,42641,0,0.232335966,32.42,171840,0.022322
V0,100000,4,5,296.02,443998687,1302369887,2858850,0,42640,0,0.227267172,32.56,173756,0.022309
